日時	勝利	TOP(B)	KDA	増減	TOP(R)	KDA	増減	JG(B)	KDA	増減	JG(R)	KDA	増減	MID(B)	KDA	増減	MID(R)	KDA	増減	ADC(B)	KDA	増減	ADC(R)	KDA	増減	SUP(B)	KDA	増減	SUP(R)	KDA	増減	ステータス
2026/04/15 22:44:28	BLUE	もり	1	+97	くらげ	0	-135	かずき	8	+55	gori	0.5	-100	lias	8	+117	つぼ@雑魚	0.7	-92	show	7	+104	こんぺい	0	-27	yukizo	11	+31	けいろん	0	-5	✅計算済
2026/04/15 23:21:09	RED	こんぺい	1.2	-66	gori	1.8	+10	くらげ	0.8	-49	かずき	14	+25	yukizo	0.6	-27	show	14	+89	lias	3.7	-190	つぼ@雑魚	4	+245	もり	1.7	-33	けいろん	2.3	+10	✅計算済
2026/04/19 20:43:37	BLUE	gori	3	+10	Pot8Os 柚子胡椒	1	-38	show	18	+81	かずき	1.5	-15	トラとらお	8.5	+333	ロックに生きよう	2	-172	つぼ@雑魚	9	+143	くらげ	0.8	-93	こんぺい	6	+41	yukizo	1	-37	✅計算済
2026/04/19 21:53:36	RED	gori	0.5	-83	Pot8Os 柚子胡椒	14	+247	かずき	0.8	-21	show	14	+67	ロックに生きよう	0	-148	トラとらお	13	+275	くらげ	1.5	-43	つぼ@雑魚	4	+55	yukizo	0.5	-43	こんぺい	11	+45	✅計算済
2026/04/19 22:33:48	RED	show	0.7	-306	ロックに生きよう	5.5	+196	かずき	1.8	-86	トラとらお	15	+92	Pot8Os 柚子胡椒	2.5	-6	gori	3	+10	つぼ@雑魚	1.3	-236	くらげ	2.1	+98	yukizo	2.8	-25	こんぺい	8.5	+47	✅計算済
2026/04/19 23:21:53	RED	トラとらお	1	-57	show	2	+10	くらげ	0.3	-66	ロックに生きよう	18	+222	つぼ@雑魚	0.6	-113	かずき	5.7	+190	Pot8Os 柚子胡椒	0.6	-50	gori	21	+101	こんぺい	0.8	-44	yukizo	22	+46	✅計算済
2026/04/24 21:07:42	RED	gori	3.3	-70	エマ*fam	4.8	+281	Vals	2.5	-162	くらげ	4.6	+52	こんぺい	2	-256	トラとらお	7.7	+281	つぼ@雑魚	0.3	-191	Fetch	5.2	+83	ぽてとじゃが	1	-243	ゔぉるもち&かがみもっち	4.6	+202	✅計算済
2026/04/24 22:15:52	BLUE	くらげ	1.4	+102	lias	1.7	-246	かずき	12	+82	こんぺい	1.7	-195	エマ*fam	7.3	+90	トラとらお	0.6	-69	Fetch	3.6	+56	Vals	1.7	-259	ぽてとじゃが	6.3	+265	ゔぉるもち&かがみもっち	0.7	-228	✅計算済
2026/04/24 23:07:49	BLUE	くらげ	1.8	+57	エマ*fam	1	-261	lias	3.2	+167	gori	2.2	-90	トラとらお	8	+261	こんぺい	6	-118	Vals	2.8	+101	つぼ@雑魚	1.6	-91	ぽてとじゃが	5	+78	Fetch	2.2	-10	✅計算済
2026/04/25 21:54:14	RED	yukizo	0.5	-75	こんぺい	6.7	+94	Tama.is.a.dog	4.7	-75	Vals	9	+256	つぼ@雑魚	1.3	-136	けいろん	3	+138	パンティー竹本	0.5	-172	( ^)o(^ )	3.8	+187	もり	0.8	-70	かずき	4.6	+100	✅計算済
